com
google
gerrit
server
java
client
lang
reviewdb
org
change
common
util
String
jgit
eclipse
get
java.lang.String
java.lang
extensions
git
e
project
c
db
add
lib
0
1
user
changes
io
gwt
Change
name
plugins
restapi
Id
info
gwtorm
Gerrit
data
p
junit
to
r
result
account
append
id
config
in
getId
commit
IOException
java.io.IOException
java.io
a
create
List
event
java.util.List
java.util
TRUE
assertThat
truth
Truth
com.google.common.truth.Truth.assertThat
com.google.common.truth.Truth
FALSE
notedb
OrmException
repo
ui
bind
update
get
cm
revwalk
googlesource
query
acceptance
base
cmd
equals
collect
Exception
java.lang.Exception
edit
i
ps
log
to
m
inject
rpc
com.google.gwtorm.server.OrmException
com.google.gwtorm.server
getName
PatchSet
Account
b
error
args
msg
input
group
put
patch
Factory
changeId
ReceiveCommits
req
Assert
rw
registration
NameKey
size
ref
C
diff
message
isEmpty
Test
refs
row
set
Collections
httpd
out
com.google.gerrit.reviewdb.client.Change
com.google.gerrit.reviewdb.client
Util
ctx
binder
errors
factory
http
cfg
isEqualTo
assertEquals
api
Project
2
err
install
n
ObjectId
rsrc
view
Cannot
sshd
events
RevCommit
gitiles
javax
Map
revision
org.eclipse.jgit.revwalk.RevCommit
org.eclipse.jgit.revwalk
servlet
cd
Set
index
key
run
format
Result
net
branch
not
getAccountId
value
getProject
status
res
googlecode
prolog_cafe
ctl
Key
DynamicSet
length
java.util.Set
magicBranch
path
org.junit.Assert.assertEquals
org.junit.Assert
s
reject
equals
toString
transport
master
ChangeInfo
patchSet
java.util.Map
mail
of
getChange
on
type
token
ReviewDb
getValue
dom
AccountGroup
contains
u
file
ArrayList
java.util.ArrayList
Status
insert
schema
admin
setOf
com.google.gerrit.extensions.registration.DynamicSet.setOf
com.google.gerrit.extensions.registration.DynamicSet
ChangeData
StringBuilder
com.google.gerrit.reviewdb.client.Account.Id
com.google.gerrit.reviewdb.client.Account
line
com.google.gerrit.reviewdb.client.Project.NameKey
com.google.gerrit.reviewdb.client.Project
java.lang.StringBuilder
ProjectConfig
d
url
psId
apache
email
getMessage
notes
RevWalk
gwtexpui
org.eclipse.jgit.lib.ObjectId
org.eclipse.jgit.lib
is
org.eclipse.jgit.revwalk.RevWalk
modules
java.lang.String.format
heads
com.google.gerrit.server.query.change.ChangeData
com.google.gerrit.server.query.change
com.google.gerrit.reviewdb.client.PatchSet
walk
close
PatchSetApproval
com.google.gerrit.reviewdb.client.PatchSet.Id
commands
table
projects
codemirror
sql
delete
values
reviewers
concurrent
apply
ChangeBundleTest
Repository
currentPatchSetId
projectName
singleton
getRevision
java.util.Collections.singleton
java.util.Collections
rp
core
getRefName
auth
getKey
ReceiveCommand
t
me
easymock
getChangeId
onSuccess
approvals
w
getStatus
label
ericsson
pgm
org.eclipse.jgit.lib.Repository
gwtjsonrpc
display
getParentKey
modules.add
EasyMock
in
patchSets
topic
submit
append
Branch
css
change.getId
HttpServletResponse
parseCommit
rsp
com.google.gerrit.reviewdb.server.ReviewDb
com.google.gerrit.reviewdb.server
